k,q,tick1,tick2,avg_spread1,avg_spread2,sigma_price_change1,sigma_price_change2
0.1,0.0,0.01,0.1,0.06285714285714152,0.04884615384615424,0.0011196258396206562,0.0004927892609574375
0.1,0.001,0.01,0.1,0.059999999999998214,0.055625000000000036,0.0012346805569667762,0.00048505938271178645
0.1,0.01,0.01,0.1,0.6040000000000006,0.05999999999999943,0.0020530461382371893,0.002182542095263267
0.1,0.1,0.01,0.1,0.8178571428571421,0.282692307692308,0.012396293746529832,0.00905314763617924
1.0,0.0,0.01,0.1,0.0,0.0,0.0,0.0
1.0,0.001,0.01,0.1,0.0,0.0,0.0,0.0
1.0,0.01,0.01,0.1,0.6228571428571347,0.2599999999999909,0.00037008738455806287,0.0
1.0,0.1,0.01,0.1,0.4304166666666595,0.23571428571427638,0.006425877214426851,0.00010772378317090322
